"","Rank","p.value","p.adj","avg.logfc","avg.logfc.dir","direction","significance"
"GO_ESTABLISHMENT_OF_LOCALIZATION_IN_CELL",1,3.11238253071028e-20,1.3224513372988e-16,1,1,"Up",100
"GO_RNA_BINDING",2,2.72265508660756e-18,5.78428073149776e-15,1,1,"Up",89.6661697834473
"GO_ADENYL_NUCLEOTIDE_BINDING",3,4.51224104938268e-18,6.39083740627568e-15,1,1,"Up",89.3934231275865
"GO_MACROMOLECULAR_COMPLEX_ASSEMBLY",4,1.39139138586159e-16,1.47800549963148e-13,1,1,"Up",80.8025112234112
"GO_CELL_CYCLE",5,3.29049853582859e-16,2.79626565574714e-13,1,1,"Up",79.058641961797
"GO_RIBONUCLEOTIDE_BINDING",6,2.59227467695377e-15,1.83576251706276e-12,1,1,"Up",73.9118593444733
"GO_PROTEIN_LOCALIZATION",7,4.82154086444019e-15,2.56875731451838e-12,1,1,"Up",72.992972344156
"GO_SINGLE_ORGANISM_CELLULAR_LOCALIZATION",8,4.83644587341658e-15,2.56875731451838e-12,1,1,"Up",72.992972344156
"GO_PROTEIN_COMPLEX_SUBUNIT_ORGANIZATION",9,5.80013340363308e-15,2.73830742578189e-12,1,1,"Up",72.8181515615771
"GO_POLY_A_RNA_BINDING",10,1.23922237637306e-14,5.26545587720912e-12,1,1,"Up",71.0298741900688
"GO_CHROMOSOME_ORGANIZATION",11,2.37447664165709e-14,9.1719556821827e-12,1,1,"Up",69.5119465289944
"GO_MICROTUBULE_CYTOSKELETON",12,1.58367601225695e-13,5.60753281339982e-11,1,1,"Up",64.5599427581698
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS",13,1.88506855369269e-13,6.16127406510787e-11,1,1,"Up",64.302371866735
"GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION",14,3.05708934665206e-13,9.27826616708901e-11,1,1,"Up",63.1826505293887
"GO_CELL_CYCLE_PROCESS",15,3.58218771720726e-13,1.01471437402758e-10,1,1,"Up",62.9378119685727
"GO_ENZYME_BINDING",16,3.95414629510174e-13,1.05007297549296e-10,1,1,"Up",62.844128330102
"GO_PROTEIN_COMPLEX_BIOGENESIS",17,4.73914901286988e-13,1.11870245309356e-10,1,1,"Up",62.6709702836642
"GO_PROTEIN_COMPLEX_ASSEMBLY",18,4.73914901286988e-13,1.11870245309356e-10,1,1,"Up",62.6709702836642
"GO_CHROMOSOME",19,5.54372682133582e-13,1.2397523823082e-10,1,1,"Up",62.3899612270995
"GO_CYTOSKELETON",20,7.62428149748842e-13,1.61977860414141e-10,1,1,"Up",61.6586589834515
"GO_CELLULAR_MACROMOLECULE_LOCALIZATION",21,1.65470505094173e-12,3.34801988640544e-10,1,1,"Up",59.6727662235196
"GO_KINASE_ACTIVITY",22,4.96126544799553e-12,9.58200767660592e-10,1,1,"Up",56.7967702181888
"GO_PHOSPHATE_CONTAINING_COMPOUND_METABOLIC_PROCESS",23,7.86673945499317e-12,1.45329460627243e-09,1,1,"Up",55.6575204354578
"GO_CYTOSKELETON_ORGANIZATION",24,8.44123317290517e-12,1.49444998965309e-09,1,1,"Up",55.5811427375576
"GO_CYTOSKELETAL_PROTEIN_BINDING",25,9.51472421801462e-12,1.61712252809376e-09,1,1,"Up",55.3653712140357
"GO_PROTEIN_LOCALIZATION_TO_ORGANELLE",26,2.79891930906954e-11,4.57408005547557e-09,1,1,"Up",52.5215420555703
"GO_CELLULAR_RESPONSE_TO_STRESS",27,3.57920017708617e-11,5.63260057497746e-09,1,1,"Up",51.9521903605819
"GO_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY",28,3.87369853109215e-11,5.87833752093234e-09,1,1,"Up",51.8353945486968
"GO_INTRACELLULAR_PROTEIN_TRANSPORT",29,4.23369707637939e-11,6.2030961646676e-09,1,1,"Up",51.6883163086336
