"","Rank","p.value","p.adj","avg.logfc","avg.logfc.dir","direction","significance"
"GO_PROTEIN_LOCALIZATION",1,2.82957954497522e-109,1.72717535425287e-105,1,1,"Up",100
"GO_CELLULAR_MACROMOLECULE_LOCALIZATION",2,5.90393129118095e-92,1.80187983006843e-88,1,1,"Up",83.7552914253322
"GO_ESTABLISHMENT_OF_LOCALIZATION_IN_CELL",3,9.2918593216972e-92,1.89058364332132e-88,1,1,"Up",83.7353701369596
"GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION",4,1.87656163142546e-91,2.86363304955526e-88,1,1,"Up",83.5632463443084
"GO_CELL_CYCLE",5,1.24503752492257e-88,1.51994181042547e-85,1,1,"Up",80.96221511536
"GO_PHOSPHATE_CONTAINING_COMPOUND_METABOLIC_PROCESS",6,9.51710698195968e-81,9.68207016964698e-78,1,1,"Up",73.5128615018289
"GO_ENZYME_BINDING",7,2.00141788607898e-79,1.74523639666087e-76,1,1,"Up",72.3140698780038
"GO_RNA_BINDING",8,2.51823933430228e-77,1.92141661207264e-74,1,1,"Up",70.3651243185014
"GO_CATALYTIC_COMPLEX",9,1.60601956723096e-72,1.08923815981975e-69,1,1,"Up",65.8277241181581
"GO_RIBONUCLEOTIDE_BINDING",10,4.00982014900182e-72,2.44759421895071e-69,1,1,"Up",65.4920925496302
"GO_CELL_CYCLE_PROCESS",11,1.53306720084695e-71,8.50712926724527e-69,1,1,"Up",64.9756455685643
"GO_POLY_A_RNA_BINDING",12,5.45829777591954e-69,2.77645413535107e-66,1,1,"Up",62.5762149068604
"GO_CELLULAR_RESPONSE_TO_STRESS",13,8.47612827063687e-68,3.9798682279975e-65,1,1,"Up",61.4724073575841
"GO_MITOTIC_CELL_CYCLE",14,3.39680326860388e-64,1.48100622511129e-61,1,1,"Up",58.064047862498
"GO_INTRACELLULAR_PROTEIN_TRANSPORT",15,8.60654525714787e-64,3.50229014997537e-61,1,1,"Up",57.7072459008251
"GO_ADENYL_NUCLEOTIDE_BINDING",16,8.40879757105222e-62,3.20795627335642e-59,1,1,"Up",55.8345593439897
"GO_MACROMOLECULE_CATABOLIC_PROCESS",17,4.67545683774314e-60,1.6787640316226e-57,1,1,"Up",54.1939355213379
"GO_RNA_PROCESSING",18,1.39171651986722e-59,4.71946535403863e-57,1,1,"Up",53.7654401668839
"GO_PHOSPHORYLATION",19,7.19298153599963e-59,2.31083996293378e-56,1,1,"Up",53.1069259178726
"GO_CATABOLIC_PROCESS",20,2.82928242814716e-58,8.63496997070513e-56,1,1,"Up",52.5604612303537
"GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL",21,4.19968815503497e-56,1.2207093570635e-53,1,1,"Up",50.5078679029695
"GO_INTRACELLULAR_SIGNAL_TRANSDUCTION",22,6.66630448515523e-56,1.84959648079034e-53,1,1,"Up",50.3356073755082
"GO_CELLULAR_CATABOLIC_PROCESS",23,1.93983248549499e-55,5.14814673541801e-53,1,1,"Up",49.9112444284767
"GO_TRANSFERASE_COMPLEX",24,3.41191054830492e-54,8.67762582785553e-52,1,1,"Up",48.7402642709687
