"","Rank","p.value","p.adj","avg.logfc","avg.logfc.dir","direction","significance"
"GO_CELL_CYCLE",1,7.86276186653575e-91,4.41258195949987e-87,1,1,"Up",100
"GO_CELL_CYCLE_PROCESS",2,5.99994310775837e-88,1.683584036037e-84,1,1,"Up",97.010557778971
"GO_RNA_BINDING",3,7.67352147912401e-84,1.4354600846948e-80,1,1,"Up",92.4587167301128
"GO_MITOTIC_CELL_CYCLE",4,1.22947077512807e-79,1.72494749750469e-76,1,1,"Up",87.7342997929665
"GO_POLY_A_RNA_BINDING",5,1.12982476072049e-68,1.26811531143268e-65,1,1,"Up",75.1509586922777
"GO_CELLULAR_RESPONSE_TO_STRESS",6,9.75569220396262e-57,9.12482410810638e-54,1,1,"Up",61.4204004466445
"GO_ESTABLISHMENT_OF_LOCALIZATION_IN_CELL",7,7.77235749411294e-56,6.23121003670883e-53,1,1,"Up",60.4542202365312
"GO_RNA_PROCESSING",8,1.21687788052882e-55,8.53639833190967e-53,1,1,"Up",60.2959181166958
"GO_ADENYL_NUCLEOTIDE_BINDING",9,1.09981710667653e-54,6.85797066963188e-52,1,1,"Up",59.2480138473509
"GO_CATALYTIC_COMPLEX",10,1.13341486980918e-52,6.36072424936912e-50,1,1,"Up",56.9698551464164
"GO_DNA_METABOLIC_PROCESS",11,4.11063103611485e-52,2.09716921587968e-49,1,1,"Up",56.3698608641634
"GO_CHROMOSOME",12,1.32816263574031e-50,6.21137392647887e-48,1,1,"Up",54.6657916551977
"GO_CHROMOSOME_ORGANIZATION",13,3.26532317995922e-50,1.30892812042365e-47,1,1,"Up",54.2909124106545
"GO_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS",14,3.25859774442999e-50,1.30892812042365e-47,1,1,"Up",54.2909124106545
"GO_RIBONUCLEOTIDE_BINDING",15,1.98687083476412e-49,7.43354608313084e-47,1,1,"Up",53.4174510514786
"GO_PROTEIN_LOCALIZATION",16,1.7323398751585e-48,6.07618211211842e-46,1,1,"Up",52.360845762072
"GO_MICROTUBULE_CYTOSKELETON",17,2.99355243118255e-48,9.88224484929205e-46,1,1,"Up",52.116246055294
"GO_ENZYME_BINDING",18,1.31758097937914e-47,4.10792469793095e-45,1,1,"Up",51.3997100555178
"GO_REGULATION_OF_CELL_CYCLE",19,4.48567556975805e-46,1.3249269103938e-43,1,1,"Up",49.6527769534885
"GO_CELLULAR_MACROMOLECULE_LOCALIZATION",20,5.63165443120399e-46,1.58024223339584e-43,1,1,"Up",49.5641527033753
"GO_REGULATION_OF_ORGANELLE_ORGANIZATION",21,1.16839703664035e-45,3.12240198553602e-43,1,1,"Up",49.2216547614958
"GO_NUCLEOPLASM_PART",22,1.80854271110886e-45,4.61342804306495e-43,1,1,"Up",49.0253322166363
"GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION",23,1.8521735103115e-44,4.51930336516005e-42,1,1,"Up",47.8776925685732
"GO_MRNA_METABOLIC_PROCESS",24,6.75400306001298e-44,1.57931104886637e-41,1,1,"Up",47.2484363059974
"GO_MACROMOLECULE_CATABOLIC_PROCESS",25,7.99201129819432e-44,1.79404669621866e-41,1,1,"Up",47.1843220425713
"GO_TRANSFERASE_COMPLEX",26,1.95105192107018e-42,4.21127053117148e-40,1,1,"Up",45.5971823025241
"GO_PHOSPHATE_CONTAINING_COMPOUND_METABOLIC_PROCESS",27,5.54585286467807e-42,1.15271578802123e-39,1,1,"Up",45.0907755578137
"GO_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL",28,2.04928571071362e-41,4.10735407447316e-39,1,1,"Up",44.4517414102157
"GO_RIBONUCLEOPROTEIN_COMPLEX",29,3.15043674153977e-41,6.096638273628e-39,1,1,"Up",44.2531105548712
"GO_REGULATION_OF_MITOTIC_CELL_CYCLE",30,9.60820379773287e-41,1.7973746570959e-38,1,1,"Up",43.7093707421985
"GO_NUCLEOLUS",31,3.05065067843882e-39,5.52266180883829e-37,1,1,"Up",41.9868248058077
"GO_ORGANELLE_FISSION",32,5.66256543518724e-39,9.93072413195963e-37,1,1,"Up",41.691727171684
"GO_DNA_REPAIR",33,1.83206896442698e-38,3.11562758435279e-36,1,1,"Up",41.1167021517273
"GO_CELLULAR_CATABOLIC_PROCESS",34,3.25265678742325e-38,5.36879702677037e-36,1,1,"Up",40.8430288215198
"GO_MICROTUBULE_ORGANIZING_CENTER",35,7.14028409193136e-38,1.14489355211197e-35,1,1,"Up",40.4621742628379
"GO_REGULATION_OF_CELL_CYCLE_PROCESS",36,1.18348146697253e-37,1.8449161090694e-35,1,1,"Up",40.2222220003108
"GO_MITOTIC_NUCLEAR_DIVISION",37,2.74367467843557e-37,4.16148710685957e-35,1,1,"Up",39.8131308374534
"GO_INTRACELLULAR_PROTEIN_TRANSPORT",38,3.95988662238275e-37,5.84812729600315e-35,1,1,"Up",39.6420142394641
"GO_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION",39,6.71750766542614e-36,9.66632128676192e-34,1,1,"Up",38.2312793952758
"GO_CYTOSKELETON",40,9.69836387823444e-35,1.36068045211629e-32,1,1,"Up",36.9013149070779
"GO_MICROTUBULE_BASED_PROCESS",41,2.92583040615327e-34,4.00481957056882e-32,1,1,"Up",36.358410453335
"GO_SINGLE_ORGANISM_CELLULAR_LOCALIZATION",42,1.74136547268662e-33,2.32679596017078e-31,1,1,"Up",35.4734904974199
"GO_PHOSPHORYLATION",43,2.59112724313353e-33,3.38172234615474e-31,1,1,"Up",35.285453824939
"GO_CENTROSOME",44,2.75080630397621e-33,3.50852840407148e-31,1,1,"Up",35.2669407189954
"GO_PROTEIN_COMPLEX_SUBUNIT_ORGANIZATION",45,2.88793541312285e-33,3.60157634187676e-31,1,1,"Up",35.2537769327481
"GO_CELL_DIVISION",46,3.22777081412992e-33,3.9378803932385e-31,1,1,"Up",35.2088811441772
"GO_CATABOLIC_PROCESS",47,6.06461991850455e-33,7.24141425162713e-31,1,1,"Up",34.9025179571047
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS_CONTAINING_GROUPS",48,9.1855430599013e-33,1.07394307608679e-30,1,1,"Up",34.7043160451504
"GO_CYTOSKELETAL_PART",49,1.81930869988724e-32,2.08366539260554e-30,1,1,"Up",34.3709877002645
"GO_POSTTRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION",50,1.9593952801708e-32,2.19922526246371e-30,1,1,"Up",34.343842018406
"GO_MACROMOLECULAR_COMPLEX_ASSEMBLY",51,2.43926471640691e-32,2.68414776244619e-30,1,1,"Up",34.2436319592008
"GO_MACROMOLECULAR_COMPLEX_BINDING",52,1.19852275010384e-30,1.29348262953515e-28,1,1,"Up",32.2947602163421
"GO_PROTEIN_CATABOLIC_PROCESS",53,1.96842339115975e-30,2.08430039079028e-28,1,1,"Up",32.0548216233569
"GO_MRNA_PROCESSING",54,2.54189054696924e-30,2.64168328696137e-28,1,1,"Up",31.9356390948811
"GO_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",55,3.75318804189815e-30,3.82961659838771e-28,1,1,"Up",31.74888213293
"GO_PEPTIDYL_AMINO_ACID_MODIFICATION",56,4.03607492831103e-30,4.04472366030027e-28,1,1,"Up",31.7213985196175
"GO_RNA_SPLICING",57,6.4930901991138e-30,6.39284599954854e-28,1,1,"Up",31.4911806053729
"GO_CELL_CYCLE_PHASE_TRANSITION",58,1.97518890955589e-28,1.91116554490132e-26,1,1,"Up",29.7824216278646
"GO_REGULATION_OF_CATABOLIC_PROCESS",59,2.34390210660058e-28,2.22948790207499e-26,1,1,"Up",29.704943109157
