"","S5","S6","S7","S8","S9","S10","S11","S12"
"5_8S_rRNA.3",2,1,0,2,2,4,1,0
"5S_rRNA.1",13,8,9,10,51,37,1,5
"5S_rRNA.10",0,0,1,0,0,0,0,0
"5S_rRNA.100",0,0,0,0,0,0,0,1
"5S_rRNA.101",5,2,2,3,13,13,3,5
"5S_rRNA.103",2,2,1,0,1,2,0,0
"5S_rRNA.104",5,5,5,2,10,11,2,3
"5S_rRNA.105",1,2,1,3,2,4,0,0
"5S_rRNA.106",7,4,7,7,17,21,4,2
"5S_rRNA.108",5,3,0,5,5,0,0,1
"5S_rRNA.109",1,2,0,0,1,4,2,3
"5S_rRNA.11",0,0,0,0,1,0,0,0
"5S_rRNA.110",0,0,0,1,0,0,0,1
"5S_rRNA.111",2,0,0,0,1,0,0,0
"5S_rRNA.112",0,0,0,0,4,0,0,0
"5S_rRNA.113",0,2,0,0,0,0,0,1
"5S_rRNA.114",5,1,4,4,4,1,0,3
"5S_rRNA.115",0,0,8,1,0,1,1,0
"5S_rRNA.117",0,0,0,0,1,0,1,1
"5S_rRNA.120",0,0,0,0,1,0,0,0
"5S_rRNA.122",2,0,0,0,0,0,0,0
"5S_rRNA.125",0,5,0,0,0,0,1,0
"5S_rRNA.126",0,0,0,0,2,0,0,1
"5S_rRNA.127",2,4,1,7,2,1,3,1
"5S_rRNA.131",0,0,0,0,0,1,0,0
"5S_rRNA.134",4,7,11,4,6,5,6,3
"5S_rRNA.136",9,6,1,5,10,17,5,6
"5S_rRNA.138",0,1,2,2,0,0,0,0
"5S_rRNA.140",6,11,2,6,1,3,2,4
"5S_rRNA.143",7,3,5,4,2,5,4,5
"5S_rRNA.144",0,1,0,0,0,0,0,0
"5S_rRNA.146",1,0,0,0,3,2,0,1
"5S_rRNA.147",0,0,0,1,0,0,0,0
"5S_rRNA.15",0,2,1,1,0,2,0,3
"5S_rRNA.154",0,0,1,1,0,1,0,0
"5S_rRNA.155",5,4,1,2,5,2,1,1
"5S_rRNA.159",5,3,3,8,0,2,3,5
"5S_rRNA.16",0,1,0,1,0,0,0,1
"5S_rRNA.160",0,0,0,0,1,0,0,0
"5S_rRNA.161",0,0,0,0,0,0,0,1
